,Bedroom,HoldType,HomeType,Price,NewBuilding,latitude,longitude
8017,2,2,2,127500.0,0,51.18921552,-2.547387276
8018,2,2,2,123000.0,0,51.20149702,-2.5380433819999997
8019,3,2,2,141000.0,0,51.20149702,-2.5380433819999997
8020,4,2,4,325000.0,0,51.17947758,-2.537329
8021,3,2,3,185000.0,0,51.19302804,-2.553142306
8022,3,2,3,190000.0,0,51.19302804,-2.553142306
8023,2,2,3,168500.0,0,51.19208322,-2.558955191
8024,3,2,4,198000.0,0,51.19208322,-2.558955191
8025,3,2,3,190000.0,0,51.19102843,-2.557640236
8026,3,2,4,197000.0,0,51.19102843,-2.557640236
8027,3,2,2,175000.0,0,51.18952682,-2.553844453
8028,3,2,4,161000.0,0,51.18952682,-2.553844453
8029,4,2,4,229000.0,0,51.18980561,-2.54781
8030,3,2,3,193000.0,0,51.19176591,-2.553828377
8031,3,2,3,195000.0,0,51.19176591,-2.553828377
8032,3,2,2,174950.0,0,51.19176591,-2.553828377
8033,4,2,3,224000.0,0,51.19176591,-2.553828377
8034,3,2,3,173000.0,0,51.19030827,-2.561566661
8035,3,2,3,165000.0,0,51.19030827,-2.561566661
8036,3,2,4,170000.0,0,51.19030827,-2.561566661
8037,3,2,2,208000.0,0,51.18350442,-2.537948239
8038,4,2,4,333000.0,0,51.18350442,-2.537948239
8039,5,2,3,280000.0,0,51.18583292,-2.541938712
8040,4,2,3,245000.0,0,51.18583292,-2.541938712
8041,3,2,1,185000.0,0,51.18583292,-2.541938712
8042,3,2,3,236000.0,0,51.19039735,-2.5598649069999997
8043,1,2,2,113000.0,0,51.19110424,-2.554936604
8044,1,2,2,117000.0,0,51.19110424,-2.554936604
8045,3,2,2,192500.0,0,51.19110424,-2.554936604
8046,4,2,3,239950.0,0,51.18396426,-2.549285181
8047,5,2,3,278000.0,0,51.18825654,-2.538962284
8048,3,2,3,185000.0,0,51.18980368,-2.55802611
8049,3,2,3,175000.0,0,51.18980368,-2.55802611
8050,4,2,3,190000.0,0,51.18980368,-2.55802611
8051,4,2,3,210000.0,0,51.18980368,-2.55802611
8052,3,2,2,276000.0,0,51.19328126,-2.563578
8053,4,2,4,423000.0,0,51.18833092,-2.540379734
8054,3,2,2,162500.0,0,51.18731257,-2.535002097
8055,2,2,3,156000.0,0,51.18586168,-2.547347529
8056,3,2,3,186500.0,0,51.18586168,-2.547347529
8057,1,2,3,90000.0,0,51.18586168,-2.547347529
8058,1,2,3,90000.0,0,51.18586168,-2.547347529
8059,4,2,4,410000.0,0,51.18756267,-2.539283287
8060,2,2,3,169950.0,0,51.18396093,-2.550887
8061,2,2,4,190000.0,0,51.19067456,-2.552627589
8062,1,1,1,67500.0,0,51.1925085,-2.546768
8063,3,2,4,350000.0,0,51.18772516,-2.559762
8064,3,2,3,145000.0,0,51.19364155,-2.5508027230000003
8065,3,2,3,196000.0,0,51.18606185,-2.548766413
8066,4,2,4,340000.0,0,51.18354249,-2.527618724
8067,3,2,3,215000.0,0,51.18713021,-2.553072
8068,7,2,4,520000.0,0,51.191778,-2.542008
8069,3,2,4,220000.0,0,51.18509586,-2.537981082
8070,2,2,3,170000.0,0,51.18776725,-2.553236694
8071,5,2,4,330000.0,0,51.18776725,-2.553236694
8072,4,2,4,250000.0,0,51.19155176,-2.543894731
8073,3,2,2,162000.0,0,51.18567736,-2.5540272230000003
8074,3,2,3,131000.0,0,51.18567736,-2.5540272230000003
8075,1,1,1,56000.0,0,51.19097288,-2.546549522
8076,2,2,3,119000.0,0,51.19175107,-2.549349177
8077,1,2,2,103500.0,0,51.19175107,-2.549349177
8078,4,2,3,212000.0,0,51.18127955,-2.538780734
8079,3,2,2,145000.0,0,51.18493605,-2.554862496
8080,3,2,2,160000.0,0,51.18444534,-2.557832606
8081,3,2,3,174950.0,0,51.18494662,-2.5526305959999998
8082,1,2,2,124950.0,0,51.18431486,-2.5278278530000002
8083,3,2,2,145500.0,0,51.18357123,-2.53514476
8084,1,1,1,55000.0,0,51.19249446,-2.546138225
8085,1,1,1,55000.0,0,51.19249446,-2.546138225
8086,1,1,1,63000.0,1,51.19249446,-2.546138225
8087,1,1,1,57000.0,0,51.19249446,-2.546138225
8088,2,1,1,65000.0,0,51.19249446,-2.546138225
8089,1,1,1,50000.0,0,51.19249446,-2.546138225
8090,2,1,1,65000.0,0,51.19249446,-2.546138225
8091,4,2,3,250000.0,0,51.18114955,-2.537720523
8092,2,2,2,113000.0,0,51.18661871,-2.556513866
8093,2,2,2,123500.0,0,51.18502766,-2.554505899
8094,3,2,2,127000.0,0,51.19351351,-2.5512591330000003
8095,3,2,3,156000.0,0,51.18483261,-2.550111053
8096,3,2,2,99950.0,0,51.19234223,-2.547925194
8097,5,2,3,270000.0,0,51.18778481,-2.557114575
8098,2,2,4,170000.0,0,51.12590007,-2.726087783
8099,2,2,2,160000.0,0,51.12590007,-2.726087783
8100,3,2,2,172000.0,0,51.12590007,-2.726087783
8101,3,2,3,215000.0,0,51.11633094,-2.747710778
8102,3,2,3,205000.0,0,51.11633094,-2.747710778
8103,3,2,3,185000.0,0,51.11633094,-2.747710778
8104,4,2,2,245000.0,0,51.12353886,-2.749713331
8105,4,2,2,250000.0,0,51.12353886,-2.749713331
8106,4,2,3,266500.0,0,51.12146022,-2.7499368630000003
8107,3,2,4,235000.0,0,51.12146022,-2.7499368630000003
8108,3,2,3,226000.0,0,51.12146022,-2.7499368630000003
8109,2,2,3,163500.0,0,51.12146022,-2.7499368630000003
8110,3,2,4,225000.0,0,51.12146022,-2.7499368630000003
8111,4,2,4,390000.0,0,51.11856547,-2.745603739
8112,3,2,2,217500.0,0,51.11856547,-2.745603739
8113,3,2,3,210000.0,0,51.11856547,-2.745603739
8114,2,1,1,120000.0,0,51.11856547,-2.745603739
8115,1,1,1,107000.0,0,51.11856547,-2.745603739
8116,3,2,3,233000.0,0,51.12203585,-2.7499176089999997
8117,2,2,3,213000.0,0,51.12203585,-2.7499176089999997
8118,5,2,3,285000.0,0,51.12203585,-2.7499176089999997
8119,4,2,4,307500.0,0,51.12203585,-2.7499176089999997
8120,3,2,3,217000.0,0,51.12203585,-2.7499176089999997
8121,3,2,3,372500.0,0,51.11330749,-2.7423904880000003
8122,3,2,4,385000.0,0,51.11330749,-2.7423904880000003
8123,4,2,4,400000.0,0,51.11330749,-2.7423904880000003
8124,3,2,4,358000.0,0,51.11330749,-2.7423904880000003
8125,2,2,2,160000.0,0,51.13085519,-2.746016066
8126,3,2,4,256000.0,0,51.13085519,-2.746016066
8127,2,2,3,180000.0,0,51.13085519,-2.746016066
8128,2,2,2,154250.0,0,51.13085519,-2.746016066
8129,3,2,2,168000.0,0,51.13085519,-2.746016066
8130,2,2,3,165900.0,0,51.13085519,-2.746016066
8131,3,2,3,227500.0,0,51.12701605,-2.725933807
8132,2,2,3,190000.0,0,51.12701605,-2.725933807
8133,3,2,3,205000.0,0,51.12701605,-2.725933807
8134,2,2,3,175000.0,0,51.12701605,-2.725933807
8135,2,2,3,152000.0,0,51.12701605,-2.725933807
8136,3,2,3,184000.0,0,51.12701605,-2.725933807
8137,2,2,2,156000.0,0,51.12701605,-2.725933807
8138,2,2,2,153500.0,0,51.12701605,-2.725933807
